frame,time_s,latency_ms,detected,gt_x,gt_y,gt_z,gt_dist,gt_yaw,pred_x,pred_y,pred_z,pred_dist,pred_yaw,reprojection_error_px
102,3.4000,1.1829,1,0.2215,-0.1314,4.1237,4.1318,-5.4397,0.2330,-0.1351,4.3058,4.3143,-5.8267,0.1198
103,3.4333,1.2363,1,0.2173,-0.1304,4.1054,4.1132,-4.9056,0.2271,-0.1362,4.2655,4.2737,-4.7240,0.1256
104,3.4667,1.3141,1,0.2131,-0.1292,4.0870,4.0945,-4.3680,0.2220,-0.1313,4.2685,4.2762,-4.4490,0.2133
105,3.5000,1.2567,1,0.2088,-0.1279,4.0686,4.0759,-3.8280,0.2180,-0.1320,4.2089,4.2166,-4.3521,0.3423
106,3.5333,1.2690,1,0.2045,-0.1265,4.0502,4.0573,-3.2867,0.2139,-0.1286,4.2114,4.2188,-3.7841,0.1745
107,3.5667,1.9796,1,0.2001,-0.1250,4.0318,4.0387,-2.7449,0.2097,-0.1283,4.1808,4.1880,-3.0278,0.4318
108,3.6000,1.2997,1,0.1956,-0.1234,4.0134,4.0200,-2.2038,0.2052,-0.1263,4.1699,4.1769,-2.3979,0.2147
109,3.6333,1.2469,1,0.1911,-0.1216,3.9950,4.0014,-1.6644,0.1976,-0.1261,4.1054,4.1121,-1.2883,0.5297
110,3.6667,1.2232,1,0.1866,-0.1198,3.9766,3.9828,-1.1276,0.1968,-0.1251,4.1464,4.1530,-1.3413,0.0598
111,3.7000,1.2430,1,0.1820,-0.1178,3.9582,3.9641,-0.5944,0.1859,-0.1222,4.0703,4.0763,-0.3779,0.2447
112,3.7333,1.2050,1,0.1774,-0.1157,3.9398,3.9455,-0.0657,0.1843,-0.1208,4.1020,4.1079,-0.1110,0.4896
113,3.7667,1.2452,1,0.1727,-0.1136,3.9214,3.9268,0.4574,0.1773,-0.1193,4.0541,4.0598,0.6069,0.1260
114,3.8000,1.1643,1,0.1680,-0.1113,3.9030,3.9082,0.9741,0.1769,-0.1194,4.0478,4.0535,0.9078,0.4054
115,3.8333,1.2699,1,0.1632,-0.1090,3.8846,3.8896,1.4835,0.1689,-0.1147,4.0239,4.0290,1.5700,0.3311
116,3.8667,1.3230,1,0.1585,-0.1065,3.8662,3.8709,1.9847,0.1656,-0.1102,4.0235,4.0284,1.3858,0.3002
117,3.9000,1.2470,1,0.1537,-0.1040,3.8478,3.8523,2.4769,0.1588,-0.1106,3.9750,3.9797,2.3763,0.4021
118,3.9333,1.2252,1,0.1488,-0.1014,3.8294,3.8337,2.9591,0.1575,-0.1086,3.9954,4.0000,3.1012,0.2476
119,3.9667,1.1550,1,0.1440,-0.0987,3.8110,3.8150,3.4307,0.1491,-0.1049,3.9630,3.9672,3.3103,0.1164
120,4.0000,1.2711,1,0.1391,-0.0960,3.7926,3.7964,3.8908,0.1445,-0.0969,3.9438,3.9477,3.5479,0.2006
121,4.0333,1.2636,1,0.1342,-0.0931,3.7742,3.7778,4.3388,0.1392,-0.0957,3.9474,3.9510,5.0207,0.1585
122,4.0667,1.3132,1,0.1293,-0.0902,3.7559,3.7592,4.7738,0.1313,-0.0930,3.9160,3.9193,4.9587,0.2036
123,4.1000,1.2592,1,0.1244,-0.0873,3.7375,3.7405,5.1953,0.1283,-0.0907,3.9073,3.9104,5.0319,0.1373
124,4.1333,1.2889,1,0.1195,-0.0843,3.7191,3.7219,5.6026,0.1244,-0.0854,3.8770,3.8799,5.6050,0.4165
125,4.1667,1.2177,1,0.1146,-0.0812,3.7007,3.7033,5.9950,0.1211,-0.0841,3.8600,3.8628,5.9044,0.1599
126,4.2000,1.3054,1,0.1097,-0.0781,3.6823,3.6847,6.3720,0.1137,-0.0825,3.8456,3.8482,6.3304,0.1830
127,4.2333,1.2845,1,0.1048,-0.0749,3.6639,3.6661,6.7331,0.1095,-0.0772,3.8155,3.8178,6.6275,0.1650
128,4.2667,1.1875,1,0.0999,-0.0717,3.6455,3.6476,7.0777,0.1043,-0.0761,3.8071,3.8093,7.0454,0.2204
129,4.3000,1.1867,1,0.0950,-0.0685,3.6271,3.6290,7.4054,0.0999,-0.0716,3.7845,3.7865,7.2509,0.2605
130,4.3333,1.2868,1,0.0901,-0.0652,3.6087,3.6104,7.7158,0.0926,-0.0691,3.7705,3.7723,7.8379,0.1117
131,4.3667,1.1796,1,0.0852,-0.0619,3.5903,3.5918,8.0085,0.0890,-0.0636,3.7484,3.7500,8.0099,0.1616
132,4.4000,1.2568,1,0.0803,-0.0585,3.5719,3.5733,8.2830,0.0823,-0.0602,3.7339,3.7353,8.4431,0.0864
133,4.4333,1.1448,1,0.0755,-0.0552,3.5535,3.5547,8.5391,0.0771,-0.0566,3.7030,3.7043,8.7082,0.0634
134,4.4667,1.2683,1,0.0706,-0.0518,3.5351,3.5362,8.7766,0.0738,-0.0540,3.6877,3.6889,8.8567,0.2949
135,4.5000,1.2761,1,0.0658,-0.0484,3.5167,3.5177,8.9952,0.0687,-0.0494,3.6642,3.6652,8.9303,0.0320
136,4.5333,1.3630,1,0.0610,-0.0450,3.4983,3.4991,9.1947,0.0634,-0.0475,3.6533,3.6542,9.3065,0.2049
137,4.5667,1.1341,1,0.0563,-0.0416,3.4799,3.4806,9.3749,0.0572,-0.0425,3.6282,3.6289,9.5152,0.0852
138,4.6000,1.2587,1,0.0515,-0.0382,3.4615,3.4621,9.5357,0.0529,-0.0397,3.6094,3.6100,9.5837,0.0450
139,4.6333,1.2780,1,0.0468,-0.0348,3.4431,3.4436,9.6771,0.0493,-0.0362,3.5919,3.5925,9.7068,0.1420
140,4.6667,1.1864,1,0.0422,-0.0314,3.4247,3.4252,9.7989,0.0438,-0.0329,3.5796,3.5800,9.7389,0.1613
141,4.7000,1.2821,1,0.0376,-0.0280,3.4064,3.4067,9.9013,0.0403,-0.0290,3.5560,3.5563,9.9210,0.1844
142,4.7333,1.3027,1,0.0330,-0.0246,3.3880,3.3882,9.9843,0.0345,-0.0254,3.5341,3.5344,10.1381,0.0439
143,4.7667,1.2711,1,0.0284,-0.0212,3.3696,3.3698,10.0478,0.0294,-0.0217,3.5184,3.5186,9.8695,0.1308
144,4.8000,1.2063,1,0.0239,-0.0179,3.3512,3.3513,10.0921,0.0261,-0.0185,3.4978,3.4979,10.0481,0.0540
145,4.8333,1.2720,1,0.0195,-0.0146,3.3328,3.3329,10.1173,0.0213,-0.0150,3.4707,3.4708,10.0659,0.0854
146,4.8667,1.4578,1,0.0150,-0.0113,3.3144,3.3144,10.1236,0.0146,-0.0104,3.4543,3.4543,10.1071,0.0954
147,4.9000,1.3393,1,0.0107,-0.0080,3.2960,3.2960,10.1112,0.0099,-0.0079,3.4343,3.4344,10.1889,0.4075
148,4.9333,1.1486,1,0.0064,-0.0048,3.2776,3.2776,10.0803,0.0078,-0.0045,3.4165,3.4165,10.1060,0.1407
149,4.9667,1.2474,1,0.0021,-0.0016,3.2592,3.2592,10.0312,0.0023,-0.0021,3.3942,3.3942,9.9766,0.0227
150,5.0000,1.2196,1,-0.0021,0.0016,3.2408,3.2408,9.9644,-0.0014,0.0018,3.3801,3.3801,10.0237,0.0728
151,5.0333,1.6822,1,-0.0062,0.0047,3.2224,3.2224,9.8800,-0.0068,0.0030,3.3537,3.3537,9.8021,0.1408
152,5.0667,1.3440,1,-0.0103,0.0077,3.2040,3.2040,9.7786,-0.0099,0.0063,3.3379,3.3379,9.9051,0.3180
153,5.1000,1.1774,1,-0.0144,0.0108,3.1856,3.1857,9.6604,-0.0147,0.0120,3.3198,3.3199,9.6858,0.1751
154,5.1333,1.3219,1,-0.0183,0.0137,3.1672,3.1673,9.5261,-0.0191,0.0139,3.2902,3.2903,9.5211,0.2034
155,5.1667,1.2680,1,-0.0222,0.0166,3.1488,3.1490,9.3759,-0.0242,0.0177,3.2755,3.2756,9.4049,0.0750
156,5.2000,1.2771,1,-0.0260,0.0195,3.1304,3.1306,9.2105,-0.0270,0.0211,3.2614,3.2616,9.3400,0.1235
157,5.2333,1.2843,1,-0.0298,0.0222,3.1120,3.1123,9.0304,-0.0316,0.0234,3.2375,3.2378,9.0342,0.0893
158,5.2667,1.2496,1,-0.0335,0.0250,3.0936,3.0939,8.8360,-0.0356,0.0249,3.2137,3.2140,8.7218,0.1427
159,5.3000,1.1838,1,-0.0371,0.0276,3.0753,3.0756,8.6280,-0.0389,0.0287,3.1989,3.1993,8.7119,0.1193
160,5.3333,1.2463,1,-0.0407,0.0302,3.0569,3.0573,8.4069,-0.0412,0.0330,3.1777,3.1782,8.4511,0.1250
161,5.3667,1.1680,1,-0.0442,0.0327,3.0385,3.0390,8.1734,-0.0466,0.0348,3.1645,3.1650,8.3454,0.0533
162,5.4000,1.2952,1,-0.0476,0.0352,3.0201,3.0206,7.9281,-0.0506,0.0357,3.1361,3.1367,7.9462,0.2691
163,5.4333,1.2606,1,-0.0509,0.0376,3.0017,3.0023,7.6716,-0.0518,0.0384,3.1269,3.1276,7.6574,0.0340
164,5.4667,1.3206,1,-0.0542,0.0399,2.9833,2.9840,7.4046,-0.0545,0.0421,3.1030,3.1038,7.3885,0.2418
165,5.5000,1.5373,1,-0.0574,0.0421,2.9649,2.9657,7.1277,-0.0578,0.0445,3.0912,3.0921,7.0725,0.1404
166,5.5333,1.2792,1,-0.0605,0.0442,2.9465,2.9474,6.8416,-0.0619,0.0451,3.0667,3.0677,6.8208,0.2226
167,5.5667,1.2533,1,-0.0635,0.0463,2.9281,2.9291,6.5470,-0.0674,0.0488,3.0486,3.0498,6.5086,0.2847
168,5.6000,1.3062,1,-0.0664,0.0483,2.9097,2.9109,6.2447,-0.0694,0.0503,3.0172,3.0184,6.5104,0.1726
169,5.6333,1.2836,1,-0.0693,0.0501,2.8913,2.8926,5.9352,-0.0718,0.0519,3.0002,3.0015,5.9050,0.1082
170,5.6667,1.2906,1,-0.0721,0.0520,2.8729,2.8743,5.6194,-0.0743,0.0521,2.9820,2.9834,5.5792,0.0874
171,5.7000,1.2811,1,-0.0748,0.0537,2.8545,2.8560,5.2980,-0.0780,0.0545,2.9610,2.9625,5.1544,0.6879
172,5.7333,1.1808,1,-0.0774,0.0553,2.8361,2.8377,4.9715,-0.0779,0.0570,2.9409,2.9425,5.2808,0.1735
173,5.7667,1.2977,1,-0.0799,0.0569,2.8177,2.8194,4.6409,-0.0824,0.0571,2.9170,2.9187,4.6809,0.4674
174,5.8000,1.3143,1,-0.0823,0.0583,2.7993,2.8011,4.3068,-0.0869,0.0580,2.9084,2.9103,3.9486,0.4458
175,5.8333,1.2331,1,-0.0847,0.0597,2.7809,2.7829,3.9698,-0.0857,0.0617,2.8685,2.8705,4.3068,0.4382
176,5.8667,1.2038,1,-0.0870,0.0610,2.7625,2.7646,3.6308,-0.0898,0.0593,2.8611,2.8631,3.3100,0.4554
177,5.9000,1.3121,1,-0.0892,0.0622,2.7441,2.7463,3.2904,-0.0926,0.0650,2.8450,2.8473,3.1911,0.4357
178,5.9333,1.2426,1,-0.0913,0.0633,2.7258,2.7280,2.9494,-0.0951,0.0656,2.8011,2.8035,2.8254,0.5321
179,5.9667,1.2194,1,-0.0933,0.0643,2.7074,2.7097,2.6084,-0.0963,0.0680,2.8255,2.8280,2.7509,0.3146
180,6.0000,1.6598,1,-0.0952,0.0653,2.6890,2.6914,2.2681,-0.1019,0.0694,2.7853,2.7880,2.1261,0.6501
181,6.0333,1.2816,1,-0.0970,0.0661,2.6706,2.6731,1.9291,-0.0985,0.0695,2.7615,2.7641,1.7832,0.3217
182,6.0667,1.2432,1,-0.0988,0.0669,2.6522,2.6549,1.5923,-0.1005,0.0682,2.7094,2.7121,1.3809,1.0305
